"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6150","GO:0042157",0.649743068036096,0.460870083758636,14,97,"lipoprotein metabolic process","BP"
"973","GO:0002925",0.649755954178293,0.746723930316577,1,7,"positive regulation of humoral immune response mediated by circulating immunoglobulin","BP"
"8275","GO:0051276",0.649795596019998,0.392459123652905,99,574,"chromosome organization","BP"
"6083","GO:0039536",0.649804496109437,0.742895580905276,1,8,"negative regulation of RIG-I signaling pathway","BP"
"10301","GO:0071763",0.649909314491108,0.492707598772821,9,47,"nuclear membrane organization","BP"
"2390","GO:0009225",0.650084751705145,0.518175337258515,6,46,"nucleotide-sugar metabolic process","BP"
"2283","GO:0009113",0.650151308653635,0.739644254771388,1,9,"purine nucleobase biosynthetic process","BP"
"6412","GO:0042939",0.650202413561729,0.647749189855402,2,11,"tripeptide transport","BP"
"2391","GO:0009226",0.650214404635894,0.556835360220488,4,29,"nucleotide-sugar biosynthetic process","BP"
"2428","GO:0009312",0.650235467979009,0.558148899833703,4,27,"oligosaccharide biosynthetic process","BP"
"11518","GO:0099504",0.650256648263889,0.416334717062662,40,221,"synaptic vesicle cycle","BP"
"4916","GO:0032829",0.6504121657439,0.66081217404318,2,8,"regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","BP"
"14728","GO:2000491",0.650754549702518,0.75821524868439,1,5,"positive regulation of hepatic stellate cell activation","BP"
"10894","GO:0090160",0.650775396406017,0.610013453110459,3,11,"Golgi to lysosome transport","BP"
"8096","GO:0050909",0.650776087577392,0.527633826729365,5,65,"sensory perception of taste","BP"
"2175","GO:0008228",0.6510088339418,0.63543153091222,2,17,"opsonization","BP"
"9446","GO:0061511",0.651237878019286,0.678059622857178,2,6,"centriole elongation","BP"
"7173","GO:0045931",0.651308201219368,0.438511309804029,22,123,"positive regulation of mitotic cell cycle","BP"
"706","GO:0002491",0.651311355306121,0.832346511167323,1,2,"antigen processing and presentation of endogenous peptide antigen via MHC class II","BP"
"13400","GO:1903976",0.651342399031552,0.677954527460464,2,6,"negative regulation of glial cell migration","BP"
"14834","GO:2000646",0.651424450724041,0.629879834974124,3,8,"positive regulation of receptor catabolic process","BP"
"11185","GO:0097210",0.651430785831894,0.741296642745793,1,8,"response to gonadotropin-releasing hormone","BP"
"10982","GO:0090296",0.651514073589959,0.768857406572922,1,4,"regulation of mitochondrial DNA replication","BP"
"12724","GO:1902373",0.651547057142894,0.468465213705754,12,79,"negative regulation of mRNA catabolic process","BP"
"8718","GO:0060099",0.651628144548853,0.596510090803792,3,15,"regulation of phagocytosis, engulfment","BP"
"13941","GO:1905153",0.651628144548853,0.596510090803792,3,15,"regulation of membrane invagination","BP"
"689","GO:0002469",0.651668967645225,0.788581490739813,1,3,"myeloid dendritic cell antigen processing and presentation","BP"
"6566","GO:0043379",0.651697415255461,0.641040503385821,2,13,"memory T cell differentiation","BP"
"4055","GO:0022618",0.651713405665463,0.421984863356501,32,193,"protein-RNA complex assembly","BP"
"10824","GO:0090043",0.651730686899053,0.562285628337833,4,21,"regulation of tubulin deacetylation","BP"
"9868","GO:0070667",0.651811388132551,0.78846149354118,1,3,"negative regulation of mast cell proliferation","BP"
"12155","GO:1900148",0.651811422110585,0.788461464906861,1,3,"negative regulation of Schwann cell migration","BP"
"3017","GO:0014719",0.65190012511146,0.737908489288875,1,9,"skeletal muscle satellite cell activation","BP"
"4068","GO:0023061",0.651936459780134,0.396316416440772,73,496,"signal release","BP"
"639","GO:0002397",0.651941278396492,0.74974568362743,1,6,"MHC class I protein complex assembly","BP"
"709","GO:0002502",0.651941278396492,0.74974568362743,1,6,"peptide antigen assembly with MHC class I protein complex","BP"
"14909","GO:2000780",0.651979551914123,0.508982324803408,7,38,"negative regulation of double-strand break repair","BP"
"5329","GO:0034308",0.652313557612431,0.469593239499931,11,103,"primary alcohol metabolic process","BP"
"1439","GO:0006367",0.652344619662359,0.42539484422843,29,168,"transcription initiation at RNA polymerase II promoter","BP"
"8366","GO:0051492",0.652523746735861,0.465908864126155,12,91,"regulation of stress fiber assembly","BP"
"5875","GO:0036135",0.652525262850788,0.756552520555773,1,5,"Schwann cell migration","BP"
"12154","GO:1900147",0.652525262850788,0.756552520555773,1,5,"regulation of Schwann cell migration","BP"
"2075","GO:0007501",0.652616422928804,0.730102015622473,1,13,"mesodermal cell fate specification","BP"
"1217","GO:0003433",0.652617354602943,0.65851724243345,2,8,"chondrocyte development involved in endochondral bone morphogenesis","BP"
"4548","GO:0032094",0.652659997313996,0.548763721326556,4,42,"response to food","BP"
"9913","GO:0070873",0.652685089670652,0.531973932592821,5,37,"regulation of glycogen metabolic process","BP"
"8592","GO:0055008",0.652702290229474,0.526334184377538,5,59,"cardiac muscle tissue morphogenesis","BP"
"995","GO:0003014",0.65275323518048,0.436337664622416,22,131,"renal system process","BP"
"1025","GO:0003093",0.652771468723879,0.652769837612969,2,9,"regulation of glomerular filtration","BP"
"11267","GO:0097500",0.652840084305119,0.756255965932027,1,5,"receptor localization to non-motile cilium","BP"
"3576","GO:0019229",0.652888994053473,0.47320572913127,11,68,"regulation of vasoconstriction","BP"
"8969","GO:0060479",0.653004991468282,0.580324797352087,3,29,"lung cell differentiation","BP"
"8976","GO:0060487",0.653004991468282,0.580324797352087,3,29,"lung epithelial cell differentiation","BP"
"364","GO:0001915",0.65310490877819,0.648098176959226,2,10,"negative regulation of T cell mediated cytotoxicity","BP"
"219","GO:0001578",0.653161338442359,0.443749877312321,18,128,"microtubule bundle formation","BP"
"6688","GO:0043696",0.653340939016319,0.657761818594595,2,8,"dedifferentiation","BP"
"6689","GO:0043697",0.653340939016319,0.657761818594595,2,8,"cell dedifferentiation","BP"
"1138","GO:0003281",0.653406932507564,0.471753598397255,11,73,"ventricular septum development","BP"
"8079","GO:0050884",0.653503116341691,0.630611003652628,2,19,"neuromuscular process controlling posture","BP"
"9460","GO:0061535",0.653553167646387,0.739198557517202,1,8,"glutamate secretion, neurotransmission","BP"
"1528","GO:0006508",0.653596045764365,0.372650186580999,269,1518,"proteolysis","BP"
"6514","GO:0043270",0.65374262888329,0.423511525593931,28,206,"positive regulation of monoatomic ion transport","BP"
"2455","GO:0009445",0.653763587093502,0.657320024368709,2,8,"putrescine metabolic process","BP"
"13063","GO:1903305",0.653820691056054,0.445599997335594,17,125,"regulation of regulated secretory pathway","BP"
"10117","GO:0071389",0.653827505018851,0.641080180074964,2,12,"cellular response to mineralocorticoid stimulus","BP"
"6794","GO:0044771",0.653880623038172,0.725115975566051,1,17,"meiotic cell cycle phase transition","BP"
"2660","GO:0010499",0.653987617813524,0.766611646791655,1,4,"proteasomal ubiquitin-independent protein catabolic process","BP"
"8988","GO:0060509",0.654047953915775,0.738707571737505,1,8,"type I pneumocyte differentiation","BP"
"7876","GO:0048738",0.654137552478411,0.414745917271075,36,231,"cardiac muscle tissue development","BP"
"7796","GO:0048599",0.654139917003686,0.464779096449565,13,64,"oocyte development","BP"
"5534","GO:0035265",0.654307998885536,0.427026953052142,26,163,"organ growth","BP"
"5609","GO:0035493",0.654529767250537,0.540172631177221,5,23,"SNARE complex assembly","BP"
"6617","GO:0043489",0.654547850696752,0.461210901437765,13,80,"RNA stabilization","BP"
"9999","GO:0071140",0.655067579826507,0.829724747512828,1,2,"resolution of mitotic recombination intermediates","BP"
"13211","GO:1903588",0.655167430512332,0.74143312022247,1,7,"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","BP"
"6087","GO:0039689",0.655212968231562,0.785578998972332,1,3,"negative stranded viral RNA replication","BP"
"6307","GO:0042594",0.65522224101973,0.419073873742681,30,229,"response to starvation","BP"
"7867","GO:0048713",0.655308678057539,0.50234517092289,7,45,"regulation of oligodendrocyte differentiation","BP"
"9113","GO:0060717",0.655434358750863,0.645618285202521,2,10,"chorion development","BP"
"4795","GO:0032641",0.655589500843689,0.785257971921321,1,3,"lymphotoxin A production","BP"
"4824","GO:0032681",0.655589500843689,0.785257971921321,1,3,"regulation of lymphotoxin A production","BP"
"4875","GO:0032761",0.655589500843689,0.785257971921321,1,3,"positive regulation of lymphotoxin A production","BP"
"8240","GO:0051205",0.655707057141857,0.501238708183489,7,47,"protein insertion into membrane","BP"
"2622","GO:0010266",0.655806196230224,0.785073042652037,1,3,"response to vitamin B1","BP"
"11529","GO:0099536",0.655816953939639,0.381119128534061,127,795,"synaptic signaling","BP"
"11793","GO:0140207",0.655920973828791,0.829124262344774,1,2,"tripeptide import across plasma membrane","BP"
"2677","GO:0010544",0.65592440018693,0.562296661117584,4,18,"negative regulation of platelet activation","BP"
"13184","GO:1903539",0.656063656811443,0.478321197130865,10,53,"protein localization to postsynaptic membrane","BP"
"12479","GO:1901722",0.656173942441111,0.59392050599816,3,14,"regulation of cell proliferation involved in kidney development","BP"
"11","GO:0000038",0.656227319385756,0.528954702390352,5,35,"very long-chain fatty acid metabolic process","BP"
"8311","GO:0051346",0.656256090687601,0.448548776593418,16,92,"negative regulation of hydrolase activity","BP"
"2943","GO:0010976",0.65629721430069,0.420651638350164,30,159,"positive regulation of neuron projection development","BP"
"2904","GO:0010917",0.656365482161757,0.727600674114002,1,12,"negative regulation of mitochondrial membrane potential","BP"
"4078","GO:0030031",0.656422698184096,0.385428413882334,99,593,"cell projection assembly","BP"
"9998","GO:0071139",0.656480470766536,0.74535208719295,1,6,"resolution of DNA recombination intermediates","BP"
"8865","GO:0060341",0.656605226398959,0.374512515242912,188,996,"regulation of cellular localization","BP"
"10383","GO:0072006",0.656688995921387,0.422265422010894,28,160,"nephron development","BP"
"7124","GO:0045837",0.656717954398162,0.725908056546806,1,13,"negative regulation of membrane potential","BP"
"7165","GO:0045921",0.656739143899877,0.462524849002286,12,81,"positive regulation of exocytosis","BP"
"7068","GO:0045738",0.656860711666972,0.502636400094218,7,40,"negative regulation of DNA repair","BP"
"12424","GO:1901551",0.657157331861876,0.828251104738213,1,2,"negative regulation of endothelial cell development","BP"
"13007","GO:1903141",0.657157331861876,0.828251104738213,1,2,"negative regulation of establishment of endothelial barrier","BP"
"4879","GO:0032765",0.657307741293018,0.763570057404934,1,4,"positive regulation of mast cell cytokine production","BP"
"5288","GO:0034162",0.657474832608512,0.541414362174777,5,20,"toll-like receptor 9 signaling pathway","BP"
"12737","GO:1902425",0.657505325278332,0.735256960834432,1,8,"positive regulation of attachment of mitotic spindle microtubules to kinetochore","BP"
"3835","GO:0021636",0.657513452096189,0.744343929239441,1,6,"trigeminal nerve morphogenesis","BP"
"3836","GO:0021637",0.657513452096189,0.744343929239441,1,6,"trigeminal nerve structural organization","BP"
"1391","GO:0006271",0.657562693093869,0.590025588117647,3,15,"DNA strand elongation involved in DNA replication","BP"
"11079","GO:0090657",0.657572167626602,0.63986599508138,2,11,"telomeric loop disassembly","BP"
"5411","GO:0034498",0.657585067715412,0.578894919739154,4,12,"early endosome to Golgi transport","BP"
"1393","GO:0006273",0.657712862924615,0.763196771626783,1,4,"lagging strand elongation","BP"
"1792","GO:0006887",0.657768609886123,0.396170632443576,59,356,"exocytosis","BP"
"11347","GO:0098693",0.65780156730252,0.567158141181092,4,15,"regulation of synaptic vesicle cycle","BP"
"41","GO:0000212",0.657978755705211,0.554176227727229,4,22,"meiotic spindle organization","BP"
"4876","GO:0032762",0.658010317526154,0.743857898951666,1,6,"mast cell cytokine production","BP"
"4877","GO:0032763",0.658010317526154,0.743857898951666,1,6,"regulation of mast cell cytokine production","BP"
"5031","GO:0033034",0.658105000229734,0.729319196116047,1,10,"positive regulation of myeloid cell apoptotic process","BP"
"8591","GO:0055007",0.658334412973656,0.437018346246498,19,115,"cardiac muscle cell differentiation","BP"
"9618","GO:0062237",0.65838522580715,0.47546423545773,10,54,"protein localization to postsynapse","BP"
"2324","GO:0009157",0.658425174343192,0.646776907444957,2,9,"deoxyribonucleoside monophosphate biosynthetic process","BP"
"13310","GO:1903804",0.658433640327616,0.738198823120026,1,7,"glycine import across plasma membrane","BP"
"3823","GO:0021612",0.658566243860115,0.731211160239188,1,9,"facial nerve structural organization","BP"
"1196","GO:0003383",0.658587629636815,0.750791987281955,1,5,"apical constriction","BP"
"2330","GO:0009164",0.658677886024416,0.62593701758738,2,18,"nucleoside catabolic process","BP"
"713","GO:0002507",0.658701476072296,0.529069279428092,5,30,"tolerance induction","BP"
"7612","GO:0048024",0.658851146398788,0.439106542781732,18,109,"regulation of mRNA splicing, via spliceosome","BP"
"7545","GO:0046839",0.659054600234818,0.490876068097459,8,43,"phospholipid dephosphorylation","BP"
"7229","GO:0046039",0.65905625512896,0.620269192191259,2,25,"GTP metabolic process","BP"
"2288","GO:0009119",0.659137669770763,0.546946922598969,4,29,"ribonucleoside metabolic process","BP"
"3466","GO:0018107",0.659184217929583,0.454880559601246,14,69,"peptidyl-threonine phosphorylation","BP"
"1076","GO:0003180",0.65920421329395,0.500518360115509,7,39,"aortic valve morphogenesis","BP"
"6591","GO:0043416",0.659212644395503,0.730554844742171,1,9,"regulation of skeletal muscle tissue regeneration","BP"
"14942","GO:2000831",0.659270717130592,0.620584184533538,2,24,"regulation of steroid hormone secretion","BP"
"11963","GO:0150032",0.65927205957342,0.782097539595938,1,3,"positive regulation of protein localization to lysosome","BP"
"9683","GO:0070192",0.659294715122129,0.504094860008329,6,65,"chromosome organization involved in meiotic cell cycle","BP"
"3316","GO:0016081",0.659364951385912,0.635097303639534,2,12,"synaptic vesicle docking","BP"
"4095","GO:0030072",0.659417177498259,0.409467742831972,35,249,"peptide hormone secretion","BP"
"12735","GO:1902423",0.659454597256057,0.727940625930633,1,10,"regulation of attachment of mitotic spindle microtubules to kinetochore","BP"
"8242","GO:0051209",0.659604236690792,0.430864000479589,21,128,"release of sequestered calcium ion into cytosol","BP"
"14665","GO:2000391",0.659662999977294,0.736973408479479,1,7,"positive regulation of neutrophil extravasation","BP"
"8030","GO:0050805",0.659756618774454,0.468291891418362,11,57,"negative regulation of synaptic transmission","BP"
"14108","GO:1905562",0.659767449013625,0.548352577439609,4,26,"regulation of vascular endothelial cell proliferation","BP"
"13279","GO:1903753",0.659771453091444,0.732976345582676,1,8,"negative regulation of p38MAPK cascade","BP"
"2584","GO:0010041",0.659859905212489,0.761210585797486,1,4,"response to iron(III) ion","BP"
"10836","GO:0090071",0.659885974071379,0.76118638844449,1,4,"negative regulation of ribosome biogenesis","BP"
"3790","GO:0021559",0.659988066514982,0.722529093110464,1,13,"trigeminal nerve development","BP"
"14664","GO:2000389",0.660012097053055,0.732733277511184,1,8,"regulation of neutrophil extravasation","BP"
"1395","GO:0006275",0.660151439051097,0.43261203105977,20,121,"regulation of DNA replication","BP"
"6677","GO:0043647",0.660336002950072,0.521312898300805,5,43,"inositol phosphate metabolic process","BP"
"4933","GO:0032877",0.660456149591513,0.825902679655607,1,2,"positive regulation of DNA endoreduplication","BP"
"2788","GO:0010731",0.660481308704389,0.825884663736536,1,2,"protein glutathionylation","BP"
"2789","GO:0010732",0.660481308704389,0.825884663736536,1,2,"regulation of protein glutathionylation","BP"
"2790","GO:0010734",0.660481308704389,0.825884663736536,1,2,"negative regulation of protein glutathionylation","BP"
"7235","GO:0046051",0.66066624531993,0.723170106402389,1,12,"UTP metabolic process","BP"
"3568","GO:0019218",0.660772199709232,0.451817998937927,13,103,"regulation of steroid metabolic process","BP"
"9286","GO:0061044",0.660774799790135,0.684898425165429,2,5,"negative regulation of vascular wound healing","BP"
"2334","GO:0009168",0.660796986763831,0.622593442453672,2,19,"purine ribonucleoside monophosphate biosynthetic process","BP"
"2726","GO:0010631",0.660877969754804,0.440820685155063,17,94,"epithelial cell migration","BP"
"8280","GO:0051283",0.660883419763192,0.429410869627932,21,129,"negative regulation of sequestering of calcium ion","BP"
"10886","GO:0090150",0.66109593304799,0.401082307896626,44,269,"establishment of protein localization to membrane","BP"
"2840","GO:0010817",0.661164741322164,0.38574684737441,75,547,"regulation of hormone levels","BP"
"4831","GO:0032689",0.66159370332998,0.48806984013816,8,43,"negative regulation of type II interferon production","BP"
"30","GO:0000101",0.661783765345509,0.722009938302762,1,12,"sulfur amino acid transport","BP"
"7925","GO:0048863",0.661786153736155,0.401968314881644,42,251,"stem cell differentiation","BP"
"2161","GO:0008202",0.661799340453904,0.401129632871527,41,325,"steroid metabolic process","BP"
"1815","GO:0006924",0.661822424830003,0.638754859561867,2,10,"activation-induced cell death of T cells","BP"
"8292","GO:0051301",0.661852374555648,0.37776848916569,110,645,"cell division","BP"
"2004","GO:0007274",0.662000165799139,0.614442533613846,2,31,"neuromuscular synaptic transmission","BP"
"1923","GO:0007143",0.662175431468119,0.520250178559935,5,40,"female meiotic nuclear division","BP"
"6934","GO:0045332",0.662230497656351,0.477463064551896,9,52,"phospholipid translocation","BP"
"12433","GO:1901605",0.66232350690775,0.4169458140473,26,201,"alpha-amino acid metabolic process","BP"
"13452","GO:1904062",0.662353053723908,0.397632615886344,47,292,"regulation of monoatomic cation transmembrane transport","BP"
"12721","GO:1902369",0.662400255135866,0.444601768488853,15,92,"negative regulation of RNA catabolic process","BP"
"9174","GO:0060836",0.662705221431865,0.730001357284342,1,8,"lymphatic endothelial cell differentiation","BP"
"1621","GO:0006616",0.662760893769324,0.647818206352621,2,8,"SRP-dependent cotranslational protein targeting to membrane, translocation","BP"
"2123","GO:0007620",0.662820889811038,0.57748208330235,3,19,"copulation","BP"
"1041","GO:0003133",0.662865067070848,0.824170421744346,1,2,"endodermal-mesodermal cell signaling","BP"
"10732","GO:0075522",0.662921280301115,0.63406789431719,2,11,"IRES-dependent viral translational initiation","BP"
"11916","GO:0141060",0.662973433279047,0.43839788379923,16,123,"disruption of anatomical structure in another organism","BP"
"8241","GO:0051208",0.663037200936289,0.423437187906026,23,135,"sequestering of calcium ion","BP"
"1860","GO:0007007",0.663053870419403,0.504108362318196,6,45,"inner mitochondrial membrane organization","BP"
"13339","GO:1903867",0.663107247414522,0.628647942924154,2,13,"extraembryonic membrane development","BP"
"8745","GO:0060147",0.663137322562841,0.524125900909084,5,30,"regulation of post-transcriptional gene silencing","BP"
"14998","GO:2001027",0.663272059771364,0.758026642040432,1,4,"negative regulation of endothelial cell chemotaxis","BP"
"3440","GO:0017158",0.663436537294816,0.537623348333413,4,39,"regulation of calcium ion-dependent exocytosis","BP"
"2572","GO:0009994",0.663444254992121,0.453679972453004,13,68,"oocyte differentiation","BP"
"3263","GO:0015919",0.663467650781884,0.531613509355685,5,22,"peroxisomal membrane transport","BP"
"6654","GO:0043574",0.663467650781884,0.531613509355685,5,22,"peroxisomal transport","BP"
"3456","GO:0018023",0.663495018061148,0.738444730716119,1,6,"peptidyl-lysine trimethylation","BP"
"2109","GO:0007603",0.66360754121825,0.619472769942954,2,19,"phototransduction, visible light","BP"
"2239","GO:0009051",0.663823380515085,0.757509011155998,1,4,"pentose-phosphate shunt, oxidative branch","BP"
"6657","GO:0043583",0.663865871925154,0.404401295098069,36,231,"ear development","BP"
"4088","GO:0030046",0.66388878158854,0.732727211271555,1,7,"parallel actin filament bundle assembly","BP"
"8435","GO:0051651",0.663959239048313,0.402927593731248,39,208,"maintenance of location in cell","BP"
"10588","GO:0072318",0.6640812655925,0.646408052251006,2,8,"clathrin coat disassembly","BP"
"1197","GO:0003400",0.664100897152469,0.745460566361232,1,5,"regulation of COPII vesicle coating","BP"
"10993","GO:0090312",0.664182843564736,0.653970337547386,2,7,"positive regulation of protein deacetylation","BP"
"14630","GO:2000344",0.664380178765317,0.72091449203774,1,11,"positive regulation of acrosome reaction","BP"
"3188","GO:0015807",0.664386880129834,0.442196339585088,15,94,"L-amino acid transport","BP"
"13009","GO:1903146",0.664447684648695,0.4756505013965,9,50,"regulation of autophagy of mitochondrion","BP"
"12396","GO:1901386",0.664461071355667,0.728208618239322,1,8,"negative regulation of voltage-gated calcium channel activity","BP"
"6188","GO:0042307",0.664578369346149,0.474151348903165,10,41,"positive regulation of protein import into nucleus","BP"
"13924","GO:1905091",0.664602222701698,0.635739155441021,2,10,"positive regulation of type 2 mitophagy","BP"
"674","GO:0002446",0.664611594773757,0.504581306637049,6,39,"neutrophil mediated immunity","BP"
"11150","GO:0097105",0.664622301412125,0.725013802917652,1,9,"presynaptic membrane assembly","BP"
"5533","GO:0035264",0.664722831307281,0.416010914416089,26,160,"multicellular organism growth","BP"
"1521","GO:0006497",0.664890961730915,0.474519900820796,9,52,"protein lipidation","BP"
"8303","GO:0051315",0.664940830696505,0.568713168469386,3,26,"attachment of mitotic spindle microtubules to kinetochore","BP"
"921","GO:0002842",0.664973897408667,0.72465065354173,1,9,"positive regulation of T cell mediated immune response to tumor cell","BP"
"510","GO:0002181",0.665147299468284,0.436882013363584,15,167,"cytoplasmic translation","BP"
"745","GO:0002554",0.665149146407651,0.822514246963027,1,2,"serotonin secretion by platelet","BP"
"14395","GO:1990785",0.665264410062161,0.776873349258614,1,3,"response to water-immersion restraint stress","BP"
"8465","GO:0051725",0.66545183177873,0.736491905324971,1,6,"protein de-ADP-ribosylation","BP"
"611","GO:0002351",0.665492567040652,0.776672419603498,1,3,"serotonin production involved in inflammatory response","BP"
"670","GO:0002442",0.665492567040652,0.776672419603498,1,3,"serotonin secretion involved in inflammatory response","BP"
"8582","GO:0052651",0.665507531169553,0.731086585481935,1,7,"monoacylglycerol catabolic process","BP"
"6509","GO:0043255",0.665824194625757,0.440079769559064,15,99,"regulation of carbohydrate biosynthetic process","BP"
"14046","GO:1905397",0.665856344252318,0.776351744898733,1,3,"activated CD8-positive, alpha-beta T cell apoptotic process","BP"
"14047","GO:1905402",0.665856344252318,0.776351744898733,1,3,"regulation of activated CD8-positive, alpha-beta T cell apoptotic process","BP"
"10874","GO:0090132",0.665887178451905,0.435003375701871,17,97,"epithelium migration","BP"
"409","GO:0001977",0.665976880649908,0.62347882082807,2,14,"renal system process involved in regulation of blood volume","BP"
"14814","GO:2000626",0.666046546943857,0.821859869923999,1,2,"negative regulation of miRNA catabolic process","BP"
"8152","GO:0051028",0.666207469144013,0.418875121981133,24,131,"mRNA transport","BP"
"6183","GO:0042278",0.666428168000681,0.540892877604965,4,26,"purine nucleoside metabolic process","BP"
"4476","GO:0031646",0.666583095638756,0.535973512243267,4,34,"positive regulation of nervous system process","BP"
"12059","GO:0170034",0.666685566975554,0.479873469284368,8,50,"L-amino acid biosynthetic process","BP"
"610","GO:0002349",0.66676687598146,0.72279298861589,1,9,"histamine production involved in inflammatory response","BP"
"669","GO:0002441",0.66676687598146,0.72279298861589,1,9,"histamine secretion involved in inflammatory response","BP"
"744","GO:0002553",0.66676687598146,0.72279298861589,1,9,"histamine secretion by mast cell","BP"
"4703","GO:0032458",0.666999374890804,0.821162791572134,1,2,"slow endocytic recycling","BP"
"14019","GO:1905332",0.667049289253262,0.534618146905547,4,36,"positive regulation of morphogenesis of an epithelium","BP"
"7906","GO:0048821",0.667253567153189,0.489444956492042,7,44,"erythrocyte development","BP"
"3290","GO:0016042",0.667312642493126,0.390969107477283,48,345,"lipid catabolic process","BP"
"9933","GO:0070922",0.667331994131609,0.632760384430404,2,10,"RISC complex assembly","BP"
"10704","GO:0072717",0.667397527642368,0.75413158856934,1,4,"cellular response to actinomycin D","BP"
"12035","GO:0160075",0.667409872618678,0.707133168779809,2,4,"non-canonical inflammasome complex assembly","BP"
"8786","GO:0060231",0.667470061535571,0.572274110443665,3,19,"mesenchymal to epithelial transition","BP"
"14482","GO:2000095",0.667600634601279,0.713370751991693,1,14,"regulation of Wnt signaling pathway, planar cell polarity pathway","BP"
"7223","GO:0046033",0.667694376424478,0.567829989646061,3,23,"AMP metabolic process","BP"
"10703","GO:0072716",0.667738723851115,0.741893525366724,1,5,"response to actinomycin D","BP"
"1912","GO:0007099",0.667796849376796,0.475227039548554,9,42,"centriole replication","BP"
"2301","GO:0009134",0.667808583134314,0.427405725082098,19,108,"nucleoside diphosphate catabolic process","BP"
"6409","GO:0042921",0.667840422042564,0.632203670595485,2,10,"nuclear receptor-mediated glucocorticoid signaling pathway","BP"
"12745","GO:1902455",0.667923838708421,0.566021970681205,3,25,"negative regulation of stem cell population maintenance","BP"
"14693","GO:2000427",0.668012876839695,0.642184898627905,2,8,"positive regulation of apoptotic cell clearance","BP"
"12752","GO:1902475",0.668111097606817,0.447546775313796,13,73,"L-alpha-amino acid transmembrane transport","BP"
"3365","GO:0016242",0.668221795109933,0.472806731485598,10,37,"negative regulation of macroautophagy","BP"
"313","GO:0001820",0.668231827946868,0.71884308795043,1,10,"serotonin secretion","BP"
"504","GO:0002158",0.668269361242265,0.628205652775383,2,11,"osteoclast proliferation","BP"
"7801","GO:0048617",0.668372108879378,0.721121623918108,1,9,"embryonic foregut morphogenesis","BP"
"14835","GO:2000647",0.668440804466933,0.706586312749799,1,23,"negative regulation of stem cell proliferation","BP"
"2126","GO:0007623",0.668509539129531,0.405559624885718,30,205,"circadian rhythm","BP"
"2065","GO:0007440",0.668712319074916,0.718338385720531,1,10,"foregut morphogenesis","BP"
"6252","GO:0042438",0.668739777485179,0.609979338345112,2,24,"melanin biosynthetic process","BP"
"14148","GO:1905666",0.668866200498042,0.579896946167758,3,14,"regulation of protein localization to endosome","BP"
"7732","GO:0048388",0.668898636826175,0.579860708468125,3,14,"endosomal lumen acidification","BP"
"10589","GO:0072319",0.66917986802337,0.635174661597416,2,9,"vesicle uncoating","BP"
"11921","GO:0141084",0.669183133574761,0.459524584997925,11,52,"inflammasome-mediated signaling pathway","BP"
"3919","GO:0021801",0.669376964176179,0.536094957842844,4,28,"cerebral cortex radial glia-guided migration","BP"
"4027","GO:0022030",0.669376964176179,0.536094957842844,4,28,"telencephalon glial cell migration","BP"
"1683","GO:0006693",0.669481665828321,0.49630397066865,6,47,"prostaglandin metabolic process","BP"
"6260","GO:0042448",0.669482567237208,0.572948930855301,3,17,"progesterone metabolic process","BP"
"9521","GO:0061760",0.669586233493644,0.565690007541972,3,23,"antifungal innate immune response","BP"
"12588","GO:1902036",0.669682434858824,0.571160521380811,3,18,"regulation of hematopoietic stem cell differentiation","BP"
"6660","GO:0043586",0.66970922028338,0.70607970787779,1,21,"tongue development","BP"
"9257","GO:0061004",0.669782676926978,0.722718690561961,1,8,"pattern specification involved in kidney development","BP"
"10413","GO:0072048",0.669782676926978,0.722718690561961,1,8,"renal system pattern specification","BP"
"2172","GO:0008216",0.669876763337035,0.640170047065627,2,8,"spermidine metabolic process","BP"
"11502","GO:0099173",0.669890828338006,0.394869410539048,40,241,"postsynapse organization","BP"
"6770","GO:0044550",0.670104538319307,0.607355813941315,2,26,"secondary metabolite biosynthetic process","BP"
"12611","GO:1902099",0.670543560011291,0.430164231462648,17,95,"regulation of metaphase/anaphase transition of cell cycle","BP"
"12282","GO:1901030",0.67067439634241,0.600382429990422,3,9,"positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","BP"
"12778","GO:1902547",0.670744144644689,0.517905533010355,5,27,"regulation of cellular response to vascular endothelial growth factor stimulus","BP"
"1682","GO:0006692",0.670749296149004,0.494596952031191,6,48,"prostanoid metabolic process","BP"
"11557","GO:0099590",0.670846961806437,0.487074168482936,7,40,"neurotransmitter receptor internalization","BP"
"10911","GO:0090184",0.6711107599052,0.715808594149186,1,10,"positive regulation of kidney development","BP"
"1402","GO:0006287",0.67111687035266,0.709611179670751,1,14,"base-excision repair, gap-filling","BP"
"14440","GO:2000001",0.671198042443278,0.521617644537973,5,23,"regulation of DNA damage checkpoint","BP"
"6682","GO:0043652",0.671356603889306,0.71356284046857,1,11,"engulfment of apoptotic cell","BP"
"1325","GO:0006144",0.671391176002725,0.610738093761459,2,19,"purine nucleobase metabolic process","BP"
"4400","GO:0031345",0.671510724529087,0.401302990968364,32,182,"negative regulation of cell projection organization","BP"
